,conv1 filters,conv2 filters,conv3 filters,accuracy,train acc,runtime
246,151,101,151,64.93055556,99.56521739,6.582982779
166,101,51,251,64.23611111,98.69565217,6.318733931
278,151,251,51,64.23611111,100,7.007821321
388,251,101,101,64.23611111,100,7.157991409
268,151,201,101,63.88888889,99.56521739,6.523109198
353,201,251,126,63.88888889,100,6.525934458
97,51,101,26,63.54166667,100,8.622534275
112,51,151,101,63.54166667,100,8.627987385
416,251,201,201,63.54166667,100,7.036194563
341,201,201,126,63.19444444,100,7.801563978
390,251,101,151,63.19444444,100,7.906733036
89,51,51,126,62.84722222,100,8.224219561
124,51,201,101,62.84722222,100,6.776710033
282,151,251,151,62.84722222,99.56521739,7.174353361
405,251,151,226,62.84722222,100,10.77509999
410,251,201,51,62.84722222,100,9.282043219
126,51,201,151,62.5,100,10.89582777
129,51,201,226,62.5,100,11.01420808
305,201,51,126,62.5,100,6.900816679
412,251,201,101,62.5,100,7.596600294
232,151,51,101,62.15277778,100,6.606385469
87,51,51,76,61.80555556,100,8.266708851
385,251,101,26,61.80555556,100,7.532005072
136,51,251,101,61.45833333,100,5.683115482
163,101,51,176,61.45833333,99.56521739,7.763428926
185,101,151,126,61.45833333,98.26086957,6.714241266
190,101,151,251,61.45833333,98.69565217,7.311979055
195,101,201,76,61.45833333,100,6.879954338
203,101,201,276,61.45833333,97.39130435,6.479597807
209,101,251,126,61.45833333,100,7.201019526
242,151,101,51,61.45833333,100,7.203184843
307,201,51,176,61.45833333,94.78260864,7.668342829
429,251,251,226,61.45833333,96.95652174,6.804588318
206,101,251,51,61.11111111,100,8.091967821
374,251,51,51,61.11111111,100,6.612317085
377,251,51,126,61.11111111,99.56521739,8.940313578
414,251,201,151,61.11111111,100,6.704712868
430,251,251,251,61.11111111,95.21739125,6.832746267
260,151,151,201,60.76388889,100,8.296239853
425,251,251,126,60.76388889,100,8.683561087
125,51,201,126,60.41666667,100,8.414647579
197,101,201,126,60.41666667,100,6.304678679
248,151,101,201,60.41666667,100,9.467132092
256,151,151,101,60.41666667,100,7.644816875
272,151,201,201,60.41666667,97.8260869,6.455163002
397,251,151,26,60.41666667,100,7.346307039
141,51,251,226,60.06944444,100,6.448944092
177,101,101,226,60.06944444,100,10.21122622
344,201,201,201,60.06944444,100,7.398636103
351,201,251,76,60.06944444,100,8.775409698
411,251,201,76,60.06944444,100,6.72263217
422,251,251,51,60.06944444,100,6.643141985
92,51,51,201,59.72222222,100,10.23162055
109,51,151,26,59.72222222,100,9.253750563
270,151,201,151,59.72222222,100,6.802747488
277,151,251,26,59.72222222,100,6.795731068
280,151,251,101,59.72222222,98.26086957,5.287662983
378,251,51,151,59.72222222,97.82608696,6.386037588
402,251,151,151,59.72222222,100,8.550920486
106,51,101,251,59.375,100,9.459815264
236,151,51,201,59.375,100,9.727570295
317,201,101,126,59.375,97.39130435,5.623341084
325,201,151,26,59.375,100,5.237184763
373,251,51,26,59.375,100,7.968122244
415,251,201,176,59.375,98.26086957,6.255695343
211,101,251,176,59.02777778,98.69565217,7.442909002
214,101,251,251,59.02777778,95.21739125,6.271057844
230,151,51,51,59.02777778,99.56521739,6.514070034
243,151,101,76,59.02777778,100,5.98766017
255,151,151,76,59.02777778,100,6.159606934
279,151,251,76,59.02777778,100,6.722501993
335,201,151,276,59.02777778,99.56521739,8.579596519
339,201,201,76,59.02777778,99.13043478,5.541733027
354,201,251,151,59.02777778,100,7.327131748
404,251,151,201,59.02777778,99.56521739,7.687815428
134,51,251,51,58.68055556,100,9.181622744
140,51,251,201,58.68055556,100,6.406771421
207,101,251,76,58.68055556,100,6.552390099
241,151,101,26,58.68055556,100,7.125960588
266,151,201,51,58.68055556,100,8.124377012
287,151,251,276,58.68055556,99.56521739,8.268023491
331,201,151,176,58.68055556,100,8.2848351
387,251,101,76,58.68055556,99.56521739,5.037820816
3,1,1,76,58.33333333,75.65217393,9.513238192
94,51,51,251,58.33333333,95.65217386,5.871217489
102,51,101,151,58.33333333,100,6.249053717
111,51,151,76,58.33333333,99.56521739,5.671066761
160,101,51,101,58.33333333,99.13043478,6.119713545
179,101,101,276,58.33333333,97.8260869,9.559113264
181,101,151,26,58.33333333,100,8.058171749
247,151,101,176,58.33333333,100,7.794028997
273,151,201,226,58.33333333,100,6.839512825
350,201,251,51,58.33333333,100,8.074069262
358,201,251,251,58.33333333,100,8.301690578
391,251,101,176,58.33333333,98.69565217,5.807851076
393,251,101,226,58.33333333,99.56521739,8.443248272
409,251,201,26,58.33333333,100,7.146849871
418,251,201,251,58.33333333,99.56521739,9.978907347
424,251,251,101,58.33333333,100,7.475501537
95,51,51,276,57.98611111,99.56521739,7.2964046
114,51,151,151,57.98611111,99.56521739,6.55058074
184,101,151,101,57.98611111,99.56521739,5.9962852
186,101,151,151,57.98611111,100,7.1650877
187,101,151,176,57.98611111,100,7.214349508
