,date,subject,keras_acc,keras_runtime,tpot_acc,tpot_runtime,auto-keras_acc,auto-keras_runtime,auto-sklearn_acc,auto-sklearn_runtime
0,2018-10-09 09-43-03.742736,1,63.54166667,54.80355668,0,0,0,0,0,0
1,2018-10-09 09-44-07.744655,2,43.75,23.30031729,0,0,0,0,0,0
2,2018-10-09 09-44-39.988105,3,53.81944444,51.99849319,0,0,0,0,0,0
3,2018-10-09 09-45-40.823811,4,35.41666667,19.8579514,0,0,0,0,0,0
4,2018-10-09 09-46-09.861139,5,58.68055556,37.36682272,0,0,0,0,0,0
5,2018-10-09 09-46-56.339499,6,45.83333333,40.89091778,0,0,0,0,0,0
6,2018-10-09 09-47-46.089046,7,63.54166667,28.09629965,0,0,0,0,0,0
7,2018-10-09 09-48-23.356196,8,60.76388889,47.36228013,0,0,0,0,0,0
8,2018-10-09 09-49-19.721637,9,62.84722222,46.31324315,0,0,0,0,0,0
average,,,54.24382716,,,,,,,
