,date,subject,keras_acc,keras_runtime,tpot_acc,tpot_runtime,auto-keras_acc,auto-keras_runtime,auto-sklearn_acc,auto-sklearn_runtime
0,2018-10-09 08-01-23.469164,1,0.690972222,57.04362297,0,0,0,0,0,0
1,2018-10-09 08-04-40.899553,2,0.4375,128.2427497,0,0,0,0,0,0
2,2018-10-09 08-09-09.453343,3,0.805555556,105.4495084,0,0,0,0,0,0
3,2018-10-09 08-13-14.710653,4,0.388888889,90.02517581,0,0,0,0,0,0
4,2018-10-09 08-17-03.024440,5,0.361111111,71.64117479,0,0,0,0,0,0
5,2018-10-09 08-20-32.559120,6,0.461805556,79.40266061,0,0,0,0,0,0
6,2018-10-09 08-24-08.793667,7,0.680555556,88.53019762,0,0,0,0,0,0
7,2018-10-09 08-27-53.496865,8,0.739583333,109.7021875,0,0,0,0,0,0
8,2018-10-09 08-32-03.083102,9,0.722222222,84.3825779,0,0,0,0,0,0
average,,,0.58757716,,,,,,,
