,date,subject,keras_acc,keras_runtime
0,2018-10-22 18-15-47.305045,1,62.15277778,631.2600091
1,2018-10-22 18-26-34.871750,2,39.23611111,502.4687788
2,2018-10-22 18-35-13.523956,3,64.23611111,400.1333702
3,2018-10-22 18-42-09.421390,4,38.54166667,224.4054573
4,2018-10-22 18-46-10.220387,5,61.45833333,303.8260953
5,2018-10-22 18-51-30.341562,6,47.22222222,642.1126914
6,2018-10-22 19-02-28.985729,7,68.40277778,415.7794743
7,2018-10-22 19-09-41.022543,8,59.02777778,329.7847385
8,2018-10-22 19-15-26.959296,9,64.93055556,446.5715685
,,,56.13425926,
